	atomic_number	symbol	mass_number	Relative Atomic Mass	Isotopic  Composition	Standard Atomic Weight	Standard Isotope	delta neutrons
71	29.0	Cu	65.0	64.9277897071	0.308515		False	2.0
72	30.0	Zn	64.0	63.9291420171	0.491775	['65.382']	False	-2.0
73	30.0	Zn	66.0	65.9260338194	0.277398		True	0.0
74	30.0	Zn	67.0	66.9271277596	0.040416		False	1.0
75	30.0	Zn	68.0	67.9248445598	0.184563		False	2.0
76	30.0	Zn	70.0	69.925319221	0.00611		False	4.0
77	31.0	Ga	69.0	68.925573513	0.601089	['69.7231']	True	0.0
78	31.0	Ga	71.0	70.9247025887	0.398929		False	2.0
79	32.0	Ge	70.0	69.924248759	0.205727	['72.6308']	False	-3.0
80	32.0	Ge	72.0	71.92207582681	0.274532		False	-1.0
81	32.0	Ge	73.0	72.92345895661	0.077512		True	0.0
82	32.0	Ge	74.0	73.92117776113	0.36502		False	1.0
83	32.0	Ge	76.0	75.92140272619	0.077312		False	3.0
84	33.0	As	75.0	74.9215945795	1.0	['74.9215956']	True	0.0
85	34.0	Se	74.0	73.92247593415	0.00894	['78.9718']	False	-6.0
86	34.0	Se	76.0	75.91921370417	0.093729		False	-4.0
87	34.0	Se	77.0	76.91991415467	0.076316		False	-3.0
88	34.0	Se	78.0	77.917309282	0.237728		False	-2.0
89	34.0	Se	80.0	79.916521813	0.496141		True	0.0
90	34.0	Se	82.0	81.916699515	0.087322		False	2.0
91	35.0	Br	79.0	78.918337614	0.50697	['79.901', '79.907']	True	0.0
92	35.0	Br	81.0	80.916289714	0.49317		False	2.0
93	36.0	Kr	78.0	77.9203649476	0.003553	['83.7982']	False	-6.0
94	36.0	Kr	80.0	79.9163780875	0.022861		False	-4.0
95	36.0	Kr	82.0	81.9134827394	0.1159331		False	-2.0
96	36.0	Kr	83.0	82.9141271632	0.1150019		False	-1.0
97	36.0	Kr	84.0	83.911497728244	0.5698715		True	0.0
98	36.0	Kr	86.0	85.910610626941	0.1727941		False	2.0
99	37.0	Rb	85.0	84.911789737954	0.72172	['85.46783']	True	0.0
100	37.0	Rb	87.0	86.90918053106	0.27832		False	2.0
101	38.0	Sr	84.0	83.913419113	0.00561	['87.621']	False	-4.0
102	38.0	Sr	86.0	85.909260612	0.09861		False	-2.0
103	38.0	Sr	87.0	86.908877512	0.07001		False	-1.0
104	38.0	Sr	88.0	87.905612512	0.82581		True	0.0
105	39.0	Y	89.0	88.905840324	1.0	['88.905842']	True	0.0
106	40.0	Zr	90.0	89.90469772	0.51454	['91.2242']	False	-1.0
107	40.0	Zr	91.0	90.90563962	0.11225		True	0.0
108	40.0	Zr	92.0	91.90503472	0.17158		False	1.0
109	40.0	Zr	94.0	93.90631082	0.173828		False	3.0
110	40.0	Zr	96.0	95.908271421	0.02809		False	5.0
